image_name,Ovos Esperados (E),Ovos observados (O),Diferença (O-E),Diferença (%),>= 50%
paleta-10-128.jpg,128,136,8,6.25,
paleta-11-12.jpg,12,15,3,25.00,
paleta-11-169.jpg,169,159,-10,-5.92,
paleta-12-10.jpg,10,17,7,70.00,x
paleta-12-34.jpg,34,32,-2,-5.88,
paleta-14-89.jpg,89,88,-1,-1.12,
paleta-15-111.jpg,111,58,-53,-47.75,
paleta-16-172.jpg,172,225,53,30.81,
paleta-17-54.jpg,54,54,0,0.00,
paleta-17-90.jpg,90,107,17,18.89,
paleta-3-56.jpg,56,54,-2,-3.57,
paleta-4-34.jpg,34,54,20,58.82,x
paleta-5-11.jpg,11,20,9,81.82,x
paleta-6-27.jpg,27,31,4,14.81,
paleta-6-55.jpg,55,57,2,3.64,
paleta-7-89.jpg,89,103,14,15.73,
paleta-8-100.jpg,100,99,-1,-1.00,
paleta-8-64.jpg,64,74,10,15.62,
paleta-9-39.jpg,39,47,8,20.51,
paleta-9-82.jpg,82,98,16,19.51,
paleta-43-183.jpg,183,83,-100,-54.64,
paleta-43-50.jpg,50,33,-17,-34.00,
paleta-46-14.jpg,14,18,4,28.57,
paleta-48-102.jpg,102,96,-6,-5.88,
paleta-48-17.jpg,17,19,2,11.76,
paleta-48-242.jpg,242,216,-26,-10.74,
paleta-49-148.jpg,148,144,-4,-2.70,
paleta-49-257.jpg,257,239,-18,-7.00,
paleta-50-26.jpg,26,38,12,46.15,
paleta-50-30.jpg,30,31,1,3.33,
paleta-1-25.jpg,25,55,30,120.00,x
paleta-10-103.jpg,103,107,4,3.88,
paleta-10-179.jpg,179,103,-76,-42.46,
paleta-10-56.jpg,56,40,-16,-28.57,
paleta-10-79.jpg,79,80,1,1.27,
paleta-11-148.jpg,148,109,-39,-26.35,
paleta-11-157.jpg,157,185,28,17.83,
paleta-11-178.jpg,178,91,-87,-48.88,
paleta-12-181.jpg,181,91,-90,-49.72,
paleta-12-19.jpg,19,30,11,57.89,x
paleta-12-24.jpg,24,32,8,33.33,
paleta-12-41.jpg,41,29,-12,-29.27,
paleta-13-28.jpg,28,16,-12,-42.86,
paleta-13-31.jpg,31,53,22,70.97,x
paleta-13-33.jpg,33,17,-16,-48.48,
paleta-13-82.jpg,82,105,23,28.05,
paleta-13-83.jpg,83,60,-23,-27.71,
paleta-15-54.jpg,54,67,13,24.07,
paleta-15-66.jpg,66,74,8,12.12,
paleta-15-92.jpg,92,65,-27,-29.35,
paleta-16-4.jpg,4,11,7,175.00,x
paleta-17-11.jpg,11,28,17,154.55,x
paleta-17-21.jpg,21,39,18,85.71,x
paleta-17-49.jpg,49,54,5,10.20,
paleta-2-10.jpg,10,17,7,70.00,x
paleta-2-2.jpg,2,13,11,550.00,x
paleta-2-4.jpg,4,19,15,375.00,x
paleta-3-37.jpg,37,45,8,21.62,
paleta-4-107.jpg,107,177,70,65.42,x
paleta-4-125.jpg,125,140,15,12.00,
paleta-4-158.jpg,158,179,21,13.29,
paleta-4-21.jpg,21,26,5,23.81,
paleta-4-5.jpg,5,14,9,180.00,x
paleta-5-13.jpg,13,15,2,15.38,
paleta-5-26.jpg,26,39,13,50.00,x
paleta-5-28.jpg,28,34,6,21.43,
paleta-6-38.jpg,38,46,8,21.05,
paleta-6-65.jpg,65,40,-25,-38.46,
paleta-7-14.jpg,14,15,1,7.14,
paleta-7-32.jpg,32,25,-7,-21.88,
paleta-8-139.jpg,139,158,19,13.67,
paleta-8-146.jpg,146,182,36,24.66,
paleta-8-15.jpg,15,24,9,60.00,x
paleta-8-25.jpg,25,30,5,20.00,
paleta-9-12.jpg,12,21,9,75.00,x
paleta-9-272.jpg,272,316,44,16.18,
paleta-9-60.jpg,60,52,-8,-13.33,
paleta-14-18.jpg,18,21,3,16.67,
paleta-185-103.jpg,103,49,-54,-52.43,
paleta-191-34.jpg,34,52,18,52.94,x
paleta-201-46.jpg,46,46,0,0.00,
paleta-228-152.jpg,152,150,-2,-1.32,
paleta-254-47.jpg,47,44,-3,-6.38,
paleta-256-12.jpg,12,12,0,0.00,
paleta-38-16.jpg,16,20,4,25.00,
paleta-404-44.jpg,44,33,-11,-25.00,
paleta-81-8.jpg,8,8,0,0.00,
paleta-067-23.jpg,23,20,-3,-13.04,
paleta-109-41.jpg,41,48,7,17.07,
paleta-187-32.jpg,32,39,7,21.88,
paleta-291-58.jpg,58,53,-5,-8.62,
paleta-34-59.jpg,59,60,1,1.69,
paleta-352-4.jpg,4,6,2,50.00,x
paleta-43-108.jpg,108,69,-39,-36.11,
paleta-51-7.jpg,7,6,-1,-14.29,
paleta-61-15.jpg,15,20,5,33.33,
paleta-78-60.jpg,60,56,-4,-6.67,
paleta-1-112.jpg,112,132,20,17.86,
paleta-10-8.jpg,8,11,3,37.50,
paleta-11-47.jpg,47,76,29,61.70,x
paleta-12-93.jpg,93,151,58,62.37,x
paleta-13-129.jpg,129,140,11,8.53,
paleta-14-114.jpg,114,132,18,15.79,
paleta-15-15.jpg,15,21,6,40.00,
paleta-16-95.jpg,95,106,11,11.58,
paleta-17-24.jpg,24,33,9,37.50,
paleta-2-4.jpg,4,10,6,150.00,x
paleta-5-21.jpg,21,47,26,123.81,x
paleta-7-53.jpg,53,65,12,22.64,
paleta-9-13.jpg,13,17,4,30.77,
paleta-110-50.jpg,50,39,-11,-22.00,
paleta-144-29.jpg,29,15,-14,-48.28,
paleta-177-24.jpg,24,26,2,8.33,
paleta-186-136.jpg,136,160,24,17.65,
paleta-282-16.jpg,16,28,12,75.00,x
paleta-290-18.jpg,18,24,6,33.33,
paleta-329-20.jpg,20,28,8,40.00,
paleta-33-14.jpg,14,24,10,71.43,x
paleta-37-22.jpg,22,15,-7,-31.82,
paleta-87-55.jpg,55,57,2,3.64,
paleta-140-3.jpg,3,13,10,333.33,x
paleta-146-4.jpg,4,14,10,250.00,x
paleta-165-13.jpg,13,16,3,23.08,
paleta-203-0.jpg,0,3,3,inf,x
paleta-210-11.jpg,11,15,4,36.36,
paleta-211-3.jpg,3,3,0,0.00,
paleta-268-2.jpg,2,6,4,200.00,x
paleta-284-8.jpg,8,13,5,62.50,x
paleta-285-1.jpg,1,8,7,700.00,x
paleta-340-11.jpg,11,32,21,190.91,x
